time	V(b1)	V(b2)	V(b3)	V(vb)
0.000000000000000e+000	2.027891e+000	2.087224e+000	2.088738e+000	3.000000e+000
2.947295999671402e-007	2.027889e+000	2.087223e+000	2.088736e+000	3.000000e+000
5.894591999342804e-007	2.027886e+000	2.087221e+000	2.088732e+000	3.000000e+000
8.841887999014206e-007	2.027882e+000	2.087219e+000	2.088727e+000	3.000000e+000
1.178918399868561e-006	2.027878e+000	2.087215e+000	2.088721e+000	3.000000e+000
1.473647999835701e-006	2.027873e+000	2.087211e+000	2.088713e+000	3.000000e+000
1.768377599802841e-006	2.027868e+000	2.087207e+000	2.088703e+000	3.000000e+000
2.063107199769981e-006	2.027863e+000	2.087202e+000	2.088692e+000	3.000000e+000
2.823107199769973e-006	2.027856e+000	2.087185e+000	2.088663e+000	3.000000e+000
3.088821485484257e-006	2.027856e+000	2.087178e+000	2.088652e+000	3.000000e+000
3.354535771198540e-006	2.027857e+000	2.087170e+000	2.088642e+000	3.000000e+000
3.620250056912824e-006	2.027858e+000	2.087160e+000	2.088634e+000	3.000000e+000
3.885964342627107e-006	2.027859e+000	2.087150e+000	2.088627e+000	3.000000e+000
4.151678628341390e-006	2.027861e+000	2.087137e+000	2.088621e+000	3.000000e+000
4.417392914055674e-006	2.027863e+000	2.087124e+000	2.088616e+000	3.000000e+000
4.683107199769956e-006	2.027865e+000	2.087110e+000	2.088613e+000	3.000000e+000
4.844535771198526e-006	2.027866e+000	2.087100e+000	2.088613e+000	3.000000e+000
5.005964342627096e-006	2.027866e+000	2.087090e+000	2.088614e+000	3.000000e+000
5.167392914055666e-006	2.027864e+000	2.087080e+000	2.088616e+000	3.000000e+000
5.328821485484236e-006	2.027862e+000	2.087071e+000	2.088618e+000	3.000000e+000
5.490250056912806e-006	2.027859e+000	2.087061e+000	2.088622e+000	3.000000e+000
5.651678628341376e-006	2.027854e+000	2.087051e+000	2.088628e+000	3.000000e+000
5.813107199769945e-006	2.027849e+000	2.087040e+000	2.088634e+000	3.000000e+000
5.823107199769945e-006	2.027848e+000	2.087040e+000	2.088634e+000	3.000000e+000
6.024535771198515e-006	2.027839e+000	2.087027e+000	2.088644e+000	3.000000e+000
6.225964342627085e-006	2.027827e+000	2.087016e+000	2.088655e+000	3.000000e+000
6.427392914055653e-006	2.027811e+000	2.087008e+000	2.088667e+000	3.000000e+000
6.628821485484223e-006	2.027792e+000	2.087001e+000	2.088679e+000	3.000000e+000
6.830250056912793e-006	2.027770e+000	2.086996e+000	2.088692e+000	3.000000e+000
7.031678628341363e-006	2.027745e+000	2.086993e+000	2.088705e+000	3.000000e+000
7.233107199769932e-006	2.027716e+000	2.086992e+000	2.088719e+000	3.000000e+000
7.403107199769930e-006	2.027689e+000	2.086995e+000	2.088730e+000	3.000000e+000
7.573107199769928e-006	2.027660e+000	2.087000e+000	2.088739e+000	3.000000e+000
7.743107199769927e-006	2.027630e+000	2.087009e+000	2.088745e+000	3.000000e+000
7.913107199769925e-006	2.027599e+000	2.087021e+000	2.088749e+000	3.000000e+000
8.083107199769923e-006	2.027567e+000	2.087035e+000	2.088751e+000	3.000000e+000
8.253107199769922e-006	2.027534e+000	2.087053e+000	2.088750e+000	3.000000e+000
8.423107199769920e-006	2.027500e+000	2.087074e+000	2.088746e+000	3.000000e+000
8.478821485484205e-006	2.027489e+000	2.087082e+000	2.088744e+000	3.000000e+000
8.534535771198491e-006	2.027479e+000	2.087090e+000	2.088741e+000	3.000000e+000
8.590250056912775e-006	2.027469e+000	2.087098e+000	2.088737e+000	3.000000e+000
8.645964342627061e-006	2.027458e+000	2.087107e+000	2.088733e+000	3.000000e+000
8.701678628341346e-006	2.027448e+000	2.087116e+000	2.088729e+000	3.000000e+000
8.757392914055632e-006	2.027439e+000	2.087125e+000	2.088724e+000	3.000000e+000
8.813107199769916e-006	2.027429e+000	2.087135e+000	2.088718e+000	3.000000e+000
